name,price
Игровая гарнитура A4Tech Bloody G575,16 990 ₸
"Компьютерная сумка LENOVO 15,6"" Toploader T210 grey",5 890 ₸
Клавиатура BLOODY B975OR,40 190 ₸
"Сетевой фильтр ЭРА USF-5es-5m-W (5 х 5м) с заземл. с выкл, (белый)",5 990 ₸
Мышка игровая LOGITECH G403 Gaming HERO,42 490 ₸
"Сетевой фильтр ЭРА USF-5es-5m-W (5 х 5м) с заземл. с выкл, (белый)",5 990 ₸
"Рюкзак для ноутбука PORTCASE KBP-132 BU 15,6",6 990 ₸
Игровая гарнитура A4Tech Bloody MOCI M550,23 580 ₸
Игровая гарнитура A4Tech Bloody G575,16 990 ₸
Подставка для ноутбука DEEPCOOL WIND PAL MINI DP N114L WDMI,6 490 ₸
Игровая гарнитура A4Tech Bloody G200S,11 490 ₸
"Компьютерная сумка LENOVO 15,6"" Toploader T210 grey",5 890 ₸
Клавиатура BLOODY B975OR,40 190 ₸
